Model,Processor,RAM,Storage,Configuration,Part Number AAVA,Part Number M3,Item Name M3,Approvals
Tab-IND 8 WIN WLAN,N100,8GB RAM,128GB UFS,"GNSS, Finger-Print-Scanner, Windows 11 IoT Enterprise LTSC",IV08WIUAB1F2XXMW,480993-100014,TAB-IND08WIUAB1F2XXMW.1,"EU, US, CA, AU, NZ"
Tab-IND 8 WIN WLAN,N100,8GB RAM,128GB UFS,"non GNSS, no OS",IV08WINAB1N0XXMW,589778,TAB-IND08WINAB1N0XXMW.1,
Tab-IND 10 WIN WLAN,N100,8GB RAM,128GB UFS,"GNSS, Finger-Print-Scanner, Windows 11 IoT Enterprise LTSC",IV10WIUAB1F2XXJW,480993-100015,TAB-IND10WIUAB1F2XXJW.1,"EU (UK), US, CA, AU, JP, MX"
Tab-IND 10 WIN WLAN,N100,16GB RAM,256GB UFS,"GNSS, Finger-Print-Scanner, Windows 11 IoT Enterprise LTSC",IV10WIUAC1F2XXJW,480993-100016,TAB-IND10WIUAC1F2XXJW.1,"EU (UK), US, CA, AU, JP, MX"
Tab-IND 10 WIN WLAN,N100,8GB RAM,128GB UFS,"non GNSS, no OS",IV10WINAB1N0XXJW,70182332,TAB-IND10WINAB1N0XXJW.1,
Tab-IND 10 WIN WLAN,N100,8GB RAM,128GB UFS,"non GNSS, Windows 11 IoT Enterprise LTSC",IV10WINAB1N2XXJW,70212390,TAB-IND10WINAB1N2XXJW.1,
Tab-IND 10 WIN WLAN,N100,8GB RAM,128GB UFS,"non GNSS, Windows 11 IoT Enterprise LTSC, white label",IV10WINAB1N2XX,589781,TAB-IND10WINAB1N2XX.1,
Tab-IND 10 WIN WLAN,N100,8GB RAM,128GB UFS,"non GNSS, no OS, white Label, bulk shipment",IV10WINAB1N0BU10,70200401,TAB-IND10WINAB1N0BU10.3,
Tab-IND 10 AND WLAN,QCS6490,8GB RAM,128GB UFS,"Android 15 GMS, Finger-Print-Scanner, non-GNSS",SA10WINAA1A3XXNW,480993-100017,TAB-IND10WINAA1A3XXNW.1,"EU, US, CA, AU, NZ, JP"
Tab-IND 10 AND 5G,QCS6490,8GB RAM,128GB UFS,"Android 15 GMS, Finger-Print-Scanner, with GNSS",SA10T5GAA1A3XXLW,480993-100018,TAB-IND10T5GAA1A3XXLW.1,"EU, US, CA, AU, NZ"
Tab-IND 15 KIOSK AND WLAN,QCS6490,8GB RAM,128GB UFS,Android 15 GMS,SA15WINAA1A3XXNW,70206536,TAB-IND15WINAA1A3XXNW.1,"EU, US, CA"
Tab-IND 15 KIOSK AND WLAN Scanner Module,,,,,ACSAAC010A00,591651,ACSAAC010A00.1,
